ord,fio,bday,party,okrug,vidvinut,registr,data,num
117,Медведев Иван Владимирович,10.02.1955,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",18,выдвинут,зарегистрирован,02.08.2016,227/1229-5
408,Воробей Любовь Алексеевна,14.11.1948,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",18,утративший статус выдвинутого кандидата,,02.08.2016,227/1230-5
799,Литвак Леонид Юрьевич,04.06.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,18,выдвинут,зарегистрирован,04.08.2016,228/1238-5
1028,Михайлов Олег Алексеевич,06.01.1987,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",18,выдвинут,зарегистрирован,27.07.2016,225/1213-5
1340,Филипченко Иван Сергеевич,18.03.1970,Политическая партия ЛДПР - Либерально-демократическая партия России,18,выдвинут,зарегистрирован,27.07.2016,225/1215-5
2093,Саладина Татьяна Алексеевна,28.01.1964,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,18,выдвинут,зарегистрирован,27.07.2016,225/1211-5
