ord,fio,bday,party,okrug,vidvinut,registr,data,num
23,Бондарь Оксана Андреевна,25.02.1974,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",116,выдвинут,зарегистрирован,05.08.2016,10/19
736,Давыденко Юрий Борисович,08.04.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,116,выдвинут,зарегистрирован,01.08.2016,9/17
983,Иваницкий Сергей Петрович,15.04.1951,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",116,выдвинут,зарегистрирован,05.08.2016,10/20
1217,Исаев Роман Вадимович,04.03.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,116,выдвинут,зарегистрирован,29.07.2016,8/16
1656,Жуков Павел Борисович,11.06.1964,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",116,выдвинут,зарегистрирован,01.08.2016,9/18
2060,Новиков Игорь Анатольевич,23.02.1972,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,116,выдвинут,зарегистрирован,05.08.2016,10/21
2224,Дорошевич Валентина Викторовна,14.08.1959,Самовыдвижение,116,выдвинут,отказ в регистрации,12.08.2016,12/23
