ord,fio,bday,party,okrug,vidvinut,registr,data,num
1084,Скоморохова Римма Вениаминовна,26.12.1964,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",168,выдвинут,зарегистрирован,30.07.2016,17/50
1096,Столбов Александр Александрович,19.08.1973,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",174,выдвинут,зарегистрирован,28.07.2016,19/57
1153,Безденежных Антон Юрьевич,20.04.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,173,выдвинут,зарегистрирован,20.07.2016,13/73
1193,Давлетшин Павел Ильфатович,24.09.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,170,выдвинут,зарегистрирован,22.07.2016,10/54
1286,Раинбаков Ильдар Салимчанович,13.01.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,171,выдвинут,зарегистрирован,18.07.2016,12/80
1301,Сизов Денис Васильевич,11.07.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,168,выдвинут,зарегистрирован,19.07.2016,14/41
1310,Субботин Константин Сергеевич,14.01.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,169,выдвинут,зарегистрирован,16.07.2016,14/76
1324,Торощин Игорь Андреевич,09.12.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,172,выдвинут,зарегистрирован,16.07.2016,15/72
1359,Шилков Данил Евгеньевич,25.09.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,174,выдвинут,зарегистрирован,17.07.2016,14/40
1378,Бастрыгина Галина Васильевна,21.11.1941,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",174,выдвинут,зарегистрирован,03.08.2016,23/67
1382,Борисов Михаил Орестович,27.11.1957,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",170,выдвинут,зарегистрирован,29.07.2016,12/62
1384,Бровин Михаил Георгиевич,26.01.1944,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",171,выдвинут,зарегистрирован,01.08.2016,16/100
1388,Верников Максим Борисович,15.07.1992,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",172,выдвинут,зарегистрирован,30.07.2016,22/93
1414,Конаков Игорь Николаевич,28.07.1964,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",173,выдвинут,зарегистрирован,03.08.2016,18/95
1418,Коромыслов Анатолий Николаевич,04.02.1960,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",169,выдвинут,зарегистрирован,30.07.2016,20/91
1451,Ривкин Феликс Моисеевич,07.03.1959,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",168,выдвинут,зарегистрирован,01.08.2016,18/52
1491,Бурков Александр Владимирович,27.05.1990,"Политическая партия ""ПАТРИОТЫ РОССИИ""",168,выдвинут,зарегистрирован,05.08.2016,19/58
1497,Воронов Даниил Михайлович,25.08.1993,"Политическая партия ""ПАТРИОТЫ РОССИИ""",170,выдвинут,зарегистрирован,28.07.2016,11/60
1509,Жаркой Георгий Владимирович,15.07.1956,"Политическая партия ""ПАТРИОТЫ РОССИИ""",174,выдвинут,зарегистрирован,31.07.2016,21/63
1516,Иофе Лев Маркович,02.10.1956,"Политическая партия ""ПАТРИОТЫ РОССИИ""",169,выдвинут,зарегистрирован,30.07.2016,20/90
1544,Мартышко Евгений Владимирович,24.11.1968,"Политическая партия ""ПАТРИОТЫ РОССИИ""",172,выдвинут,зарегистрирован,01.08.2016,24/106
1553,Паначев Дмитрий Викторович,08.01.1966,"Политическая партия ""ПАТРИОТЫ РОССИИ""",171,выдвинут,зарегистрирован,30.07.2016,15/90
1608,Ярутин Сергей Александрович,09.07.1982,"Политическая партия ""ПАТРИОТЫ РОССИИ""",173,выдвинут,зарегистрирован,29.07.2016,16/91
1633,Головин Дмитрий Александрович,18.03.1964,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",169,выдвинут,зарегистрирован,03.08.2016,21/95
1761,Тюриков Сергей Александрович,08.11.1980,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",172,выдвинут,зарегистрирован,01.08.2016,24/108
1801,Василюк Евгений Альбертович,11.12.1967,"Политическая партия ""Российская экологическая партия ""Зеленые""",171,выдвинут,зарегистрирован,01.08.2016,16/98
1806,Гаев Денис Владимирович,09.11.1972,"Политическая партия ""Российская экологическая партия ""Зеленые""",168,выдвинут,зарегистрирован,01.08.2016,18/51
1867,Пакулов Сергей Георгиевич,03.12.1950,"Политическая партия ""Российская экологическая партия ""Зеленые""",169,выдвинут,зарегистрирован,30.07.2016,20/92
1882,Рузаков Игорь Олегович,07.02.1972,"Политическая партия ""Российская экологическая партия ""Зеленые""",170,выдвинут,зарегистрирован,30.07.2016,13/68
1895,Тупоногов Михаил Александрович,21.11.1966,"Политическая партия ""Российская экологическая партия ""Зеленые""",172,выдвинут,зарегистрирован,02.08.2016,25/110
1904,Черкасов Александр Валерьевич,27.10.1975,"Политическая партия ""Российская экологическая партия ""Зеленые""",173,выдвинут,зарегистрирован,10.08.2016,21/109
1949,Бурков Александр Леонидович,23.04.1967,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,171,выдвинут,зарегистрирован,01.08.2016,16/99
1993,Злыдников Юрий Петрович,29.06.1954,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,169,выдвинут,зарегистрирован,25.07.2016,17/84
1999,Ионин Дмитрий Александрович,25.01.1985,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,170,выдвинут,зарегистрирован,28.07.2016,11/61
2081,Пунин Владислав Михайлович,08.11.1974,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,173,выдвинут,зарегистрирован,27.07.2016,15/79
2098,Семеновых Сергей Михайлович,03.01.1978,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,174,выдвинут,зарегистрирован,25.07.2016,18/53
2121,Филиппов Владимир Павлович,03.04.1955,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,172,выдвинут,зарегистрирован,02.08.2016,25/109
2129,Черешнев Валерий Александрович,24.10.1944,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,168,выдвинут,зарегистрирован,01.08.2016,18/53
