ord,fio,bday,party,okrug,vidvinut,registr,data,num
34,Веллер Алексей Борисович,09.01.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",128,выдвинут,зарегистрирован,29.07.2016,10/22
490,Пахомов Сергей Алексеевич,01.11.1964,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",128,выдвинут,зарегистрирован,29.07.2016,20/25
658,Морарь Игорь Николаевич,26.07.1974,"Политическая партия ""Гражданская Платформа""",128,выдвинут,зарегистрирован,29.07.2016,10/23
814,Мусатян Андраник Владимирович,25.01.1975,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,128,выдвинут,отказ в регистрации,12.08.2016,12/29
1094,Степахно Геннадий Васильевич,06.10.1950,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",128,выдвинут,зарегистрирован,27.07.2016,9/18
1156,Белов Максим Андреевич,22.10.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,128,выдвинут,зарегистрирован,29.07.2016,10/20
1409,Капитонов Андрей Сергеевич,13.10.1974,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",128,выдвинут,зарегистрирован,29.07.2016,10/21
1646,Дроздов Олег Валерьевич,07.07.1970,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",128,выдвинут,зарегистрирован,29.07.2016,20/24
2037,Макаревич Александр Геннадьевич,23.11.1962,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,128,выдвинут,зарегистрирован,27.07.2016,9/19
