ord,fio,bday,party,okrug,vidvinut,registr,data,num
106,Ледков Григорий Петрович,26.03.1969,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",225,выдвинут,зарегистрирован,08.08.2016,15/120-6
264,Денисов Андрей Николаевич,17.03.1979,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",225,выдвинут,зарегистрирован,08.08.2016,15/121-6
483,Носкин Сергей Анатольевич,01.08.1971,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",225,выдвинут,зарегистрирован,03.08.2016,14/117-6
781,Колесников Алексей Юрьевич,15.01.1978,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,225,выдвинут,зарегистрирован,03.08.2016,14/118-6
994,Карпиков Максим Георгиевич,29.01.1980,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",225,выдвинут,зарегистрирован,27.07.2016,11/101-6
1295,Садовников Денис Владимирович,04.09.1978,Политическая партия ЛДПР - Либерально-демократическая партия России,225,выдвинут,зарегистрирован,29.07.2016,12/110-6
2078,Попов Сергей Владимирович,20.11.1977,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,225,выдвинут,зарегистрирован,29.07.2016,12/109-6
2415,Ушаков Михаил Александрович,20.04.1983,Самовыдвижение,225,выдвинут,зарегистрирован,01.08.2016,13/114-6
