ord,fio,bday,party,okrug,vidvinut,registr,data,num
46,Дамдинов Алдар Валерьевич,28.03.1971,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",9,выдвинут,зарегистрирован,05.08.2016,11/30
362,Слипенчук Михаил Викторович,20.01.1965,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",9,выдвинут,зарегистрирован,05.08.2016,11/31
561,Колмаков Дмитрий Владимирович,03.05.1978,"Всероссийская политическая партия ""Союз Труда""",9,выдвинут,отказ в регистрации,11.08.2016,12/33
681,Цыденов Баяр Бимбаевич,01.09.1970,"Политическая партия ""Гражданская Платформа""",9,выдвинут,зарегистрирован,29.07.2016,8/20
788,Косарев Михаил Владимирович,17.06.1985,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,9,выдвинут,зарегистрирован,29.07.2016,8/19
1121,Цыренов Баир Цыденович,03.06.1986,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",9,выдвинут,зарегистрирован,01.08.2016,9/24
1201,Дорош Сергей Дмитриевич,08.08.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,9,выдвинут,зарегистрирован,25.07.2016,7/17
1951,Бухольцева Оксана Васильевна,19.11.1970,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,9,выдвинут,зарегистрирован,01.08.2016,9/25
