ord,fio,bday,party,okrug,vidvinut,registr,data,num
1387,Васильев Михаил Юрьевич,13.10.1975,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",95,выдвинут,зарегистрирован,29.07.2016,120/1380
1402,Жакова Ольга Александровна,21.09.1983,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",94,выдвинут,зарегистрирован,29.07.2016,19/113
1528,Котова Мария Владимировна,10.12.1967,"Политическая партия ""ПАТРИОТЫ РОССИИ""",94,выдвинут,зарегистрирован,02.08.2016,20/126
1542,Макаров Виктор Викторович,10.11.1951,"Политическая партия ""ПАТРИОТЫ РОССИИ""",96,выдвинут,зарегистрирован,29.07.2016,27/187
1561,Проничев Василий Иванович,23.11.1943,"Политическая партия ""ПАТРИОТЫ РОССИИ""",95,выдвинут,зарегистрирован,28.07.2016,119/1373
1607,Якубов Сергей Сергеевич,07.01.1982,"Политическая партия ""ПАТРИОТЫ РОССИИ""",93,выдвинут,зарегистрирован,03.08.2016,121/1388
1612,Алексеев Владимир Сергеевич,19.06.1978,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",95,выдвинут,зарегистрирован,09.08.2016,123/1408
1669,Казакова Лариса Владимировна,09.11.1968,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",93,выдвинут,зарегистрирован,03.08.2016,121/1392
1760,Тупицин Алексей Анатольевич,05.02.1969,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",96,выдвинут,выбывший (после регистрации) кандидат,12.08.2016,31/229
1825,Елохин Юрий Владиславович,21.06.1974,"Политическая партия ""Российская экологическая партия ""Зеленые""",95,выдвинут,зарегистрирован,05.08.2016,122/1400
1826,Емельянов Виктор Сергеевич,04.09.1985,"Политическая партия ""Российская экологическая партия ""Зеленые""",93,выдвинут,зарегистрирован,29.07.2016,120/1382
1870,Перевозников Сергей Геннадьевич,11.10.1965,"Политическая партия ""Российская экологическая партия ""Зеленые""",94,выдвинут,зарегистрирован,05.08.2016,21/130
1964,Гаськов Александр Юрьевич,30.07.1959,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,96,выдвинут,зарегистрирован,21.07.2016,24/171
1983,Егорова Лариса Игоревна,18.10.1965,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,93,выдвинут,зарегистрирован,09.08.2016,123/1409
2011,Комаров Георгий Александрович,15.07.1981,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,95,выдвинут,зарегистрирован,03.08.2016,121/1389
2074,Пономарев Алексей Владимирович,19.02.1972,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,94,выдвинут,зарегистрирован,02.08.2016,20/127
2240,Записной Валерий Евгеньевич,18.07.1978,Самовыдвижение,94,утративший статус выдвинутого кандидата,,04.08.2016,л. заявление
2309,Маркелов Сергей Николаевич,20.05.1962,Самовыдвижение,95,утративший статус выдвинутого кандидата,,05.08.2016,л. заявление
2432,Шаповалов Александр Геннадьевич,04.12.1967,Самовыдвижение,93,утративший статус выдвинутого кандидата,,05.08.2016,л. заявление
